
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   2568 Services                   0      7,292 K
svchost.exe                  13976 Console                    1     16,820 K
svchost.exe                  12188 Services                   0      8,368 K
backgroundTaskHost.exe       15616 Console                    1     31,156 K
backgroundTaskHost.exe       15660 Console                    1     36,552 K
svchost.exe                  16348 Services                   0     13,460 K
svchost.exe                   7772 Console                    1     14,608 K
svchost.exe                  14568 Services                   0      8,964 K
svchost.exe                  15740 Services                   0     12,716 K
svchost.exe                   9340 Services                   0     13,132 K
RuntimeBroker.exe             6120 Console                    1     16,000 K
git.exe                       9544 Console                    1     94,020 K
conhost.exe                  16028 Console                    1      6,792 K
svchost.exe                  15468 Services                   0      8,580 K
tasklist.exe                  4072 Console                    1     11,224 K
conhost.exe                   4080 Console                    1     14,448 K
